items_count,user_id,price
58,--000--,397.78000000000003
44,--ace--,166.82
23,--ionex--,99.92999999999999
68,-2SV-vuLB-Kg,427.5
149,-404PageNotFound-,1509.32
127,-AnimeIsMyThing-,1194.44
167,-Azsael-,2381.7
47,-Beave-,54.95
24,-Encore-,277.79
106,-GM-Dragon,822.47
20,-I_AM_EPIC-,129.94
26,-JT,224.87
118,-Kenny,1538.1399999999999
114,-KillZone-,1220.29
367,-Mad-,3638.23
62,-Naughty-,467.77
529,-PRoSlayeR-,2515.36
394,-SEVEN-,3624.0699999999997
28,-SatansLittleHelper-,323.78000000000003
43,-Thyme-,514.69
131,-Ultrix,1467.68
123,-Uplink-,1511.18
51,-Zovix-,224.87
51,-_PussyDestroyer_-,355.69
40,-_skIzZ_-,374.81
18,-fastrvrs-,195.89
15,-iBubble,127.88
69,-kainey9777,1022.54
49,-xKyox-,195.85
139,0-3-0,1639.9399999999998
93,00000000000000000001227,1037.3
59,00000003010,331.7
25,0000FF,144.91
30,000Infinity000,109.97
71,001000111000111000010,728.42
3,001002130882,14.99
48,001010001,320.82
34,0041287,144.92
24,00454211432342,137.88
231,005577,2911.27
102,00690069006900,796.36
373,0071945,4922.849999999999
1,007Pro,0.0
178,007james_bond,2123.61
49,007thesilence,596.67
7,00810cccyyykkk,19.98
71,008port,418.67
23,0099654321891111,188.86
28,00True,302.86
9,00nana,29.98
88,01001000-01101001,1333.22
2,010195345,0.0
3,0102705195,0.0
28,010607,215.81
76,011000100001000111,846.3199999999999
26,011011010111001000101110,101.88
5,011111135489484797,29.98
29,01120477677,233.88
31,0112937783,429.81
159,01189958889189157253,1774.79
139,0118999881999119,1314.94
125,01221733,558.61
62,0136849195,128.92
11,01398279857934,14.99
42,018302,502.68
5,01shan,24.98
7,0212030,104.94999999999999
80,022899,1133.4
10,0248359,223.88
3,025652,0.0
62,0271975108,669.6899999999999
97,0305089,582.5600000000001
24,03092002,255.89
2,03375616256,9.99
6,0402593613,19.98
214,04061993,1014.31
128,04092013,592.1
98,041112016,1379.26
20,0412734634,59.96
27,0412827540,144.91
118,042153100,1522.23
31,0421874858,340.8
113,04280122,1260.1599999999999
14,0432-026-no,79.93
28,04536829290339393838,130.89
86,0468313256,99.88
22,0488456,249.86
35,05041129,138.89
53,05461025,555.6
159,05511301,1577.73
16,05zhehan,89.94999999999999
72,066600,468.8
48,0700464574757,383.71999999999997
92,07846813956825,1141.33
1,0800135723,0.0
48,0814551,171.89
11,0827777,0.99
1,0833422708,0.0
5,0854029092,19.99
23,0862770364,148.92000000000002
184,0896398616,1119.69
7,0898786879898,69.96
313,08alross,4130.66
41,0903512455,199.85
176,09106,1152.1
369,091263,3083.61
1,092688110,0.0
28,092982943,94.92999999999999
59,0935659130,466.76
89,094553552,689.55
30,095732,179.86
239,095843067,2645.61
12,098765432108642,179.91
25,09876543231,215.82999999999998
42,098766catdogbnmnnn,227.84
33,09895749373554,345.74
56,0996633,601.7
36,0FI3MWAJS2849023N,331.78
23,0fficiaIfIaw,38.97
22,0nlyb0nes,224.91
29,0rangeZ3r0,143.88
59,0x0B00B135,500.62
149,0x426F,1728.83
536,1-800-Invisible,5822.0
106,10000000thVisitor,1105.18
22,1000000sdsd,54.97
1,100002077293140,0.0
31,100011101011,347.84
50,1000jaus,642.64
286,1001101001110101,3363.64
50,100355,524.66
130,10051997,1249.17
307,10101010101010109,3734.09
42,101010101111,382.8
8,101010102,70.93
45,1010102,223.85
7,101013483181348,14.99
9,1010231464,44.97
128,1011001,1223.17
52,1011010101101101010101,634.53
14,1011012001,49.96
21,101316,254.84
6,1016523030,0.0
29,101676057,270.86
36,10197226,271.74
98,101thegreenguy,1270.61
13,102547508,19.99
45,102598615,161.86
7,1032165460,64.95
21,1052218979baidu,242.85999999999999
38,10817,334.8
150,109284293753647,1837.9099999999999
109,10936543792,1033.25
31,10948278193,69.96
1,109654,0.0
178,109leonidas,1841.86
150,10Degree,1236.09
21,10gp,169.89
56,10outof10matee,604.62
20,10oyard,209.88
140,11010011011,1603.01
42,1101167413,531.66
73,110211021,488.62
76,110321565469,817.99
65,1103703132946,722.55
62,111190869,798.56
28,111222333222111,274.83
52,111222333444555666888,575.6899999999999
10,11123xxx3122,59.95
44,11124,440.71
47,11141995,566.58
242,111s,2269.2400000000002
65,111zerosen,419.52
177,1122305938,2374.75
23,112asdasfasdasd,0.0
34,11345678,247.86
76,113595,1059.4099999999999
82,1136579070,686.5899999999999
37,11464789,301.79
102,11567jj,466.74
56,1163321,361.81
15,117007,129.92
67,117331,341.75
11,117a2,119.92999999999999
166,117arbiter,1577.53
70,11925219096,692.62
60,119922883377446655123456789,263.82
215,11XGX,2682.33
3,12021988,0.0
120,120445,935.77
21,120488700,264.92
16,12110604,194.89
33,1212343456567878909,340.82
33,12123871234989120,147.88
126,12125,1347.17
4,1214551565454556,0.0
129,121478,1599.2
9,121598558,0.0
177,12223536,2115.87
38,122249_700b,318.74
17,122799,54.97
43,123123123131231231,295.87
31,12312312332123,205.86
50,12312341244123,519.77
48,1231343263534243534,540.65
65,123232343432555686888554456555,623.67
64,1232999,732.67
59,12332165478953761,763.51
77,1233451231252123,204.91000000000003
33,1233zaazen,390.8
3,12341008,14.99
28,12341846,301.77
46,1234321115,524.68
2,1234455565,19.99
33,12345123456,312.82
38,1234567124567,439.76
73,12345676543456789098543,437.71
48,1234567810132,144.85
131,123456787654329,1403.0
206,12345678901234567890123456567890,2789.4
98,1234567890192837465,860.52
41,1234567890qweccrtht,377.78999999999996
4,1234567890qwertyuiop,34.98
2,12345678910123,4.99
81,12345678910a,1163.4
10,1234567898354127873,44.95
269,123456789874561232145678,2822.13
37,123456789_Kappa,410.25
71,123456789diamond987654321,700.54
155,1234567io9872345678765432,1356.08
17,12345gh,204.92000000000002
76,1234865654,463.64
44,1234derpaa,434.72999999999996
124,12391939123,824.91
35,12398uf8jg21390,307.78000000000003
25,12399017,160.82999999999998
2,123abc321,0.0
91,123abccba,1005.42
48,123amazing123,315.85
52,123curssin123,409.81
15,123franz789,54.97
87,123joshua321,940.3
137,123repulseMe,1087.25
2,123sharpshooter123,0.0
2,1242163634531636,9.98
43,12435674325tyughnb,480.71999999999997
107,12435gg,482.69
8,124653tf,129.97
3,124681,19.99
75,1249012512908890112890,745.08
2,124c7937,0.0
81,12524,298.8
99,12536475869trhgsdf,559.46
64,12549,223.88
105,12779,782.49
10,128463821947,69.97
2,12874175635ELITE,4.99
81,128bitbit,144.9
49,1294120970512,492.7
155,129874182,1770.67
35,12DeAgostoAs12HRSe26MIN,280.78
48,12_gauge_org,287.89
20,12das,44.96
41,1300655506nigga,312.72
128,13012,1322.22
135,131312,1742.83
144,1313Lcf,1959.8999999999999
56,131467132,448.77
139,13199708,1843.93
66,1321742413,238.85
43,132413244231,351.77
28,13272310,84.97
18,13371337133713337,139.97
95,133742069174,1028.51
113,1337666133766613376661337,1344.18
5,133774553644535355354,9.99
