price,año_lanzamiento,developer,item_id
4.99,2018,Kotoshiro,761140
0.0,2018,Secret Level SRL,643980
0.0,2017,Poolians.com,670290
0.99,2017,彼岸领域,767400
3.99,2018,Trickjump Games Ltd,772540
9.99,2018,Poppermost Productions,774276
18.99,2018,Poppermost Productions,774277
29.99,2018,Poppermost Productions,774278
0.0,2018,RewindApp,768800
0.0,0,Qucheza,768570
10.99,2018,Stegalosaurus Game Development,770380
3.99,2018,Copperpick Studio,768880
2.99,2018,Ghulam Jewel,765320
1.59,2018,Apillo,773650
14.99,2018,Poppermost Productions,774271
1.99,2018,Apillo,773690
59.99,2018,Poppermost Productions,774279
0.99,2018,Tero Lunkka,768060
2.99,2017,FrozenPepper,775880
2.99,2017,FrozenPepper,775881
4.99,2018,Casey Labrack,653960
9.99,1997,Stainless Games Ltd,282010
9.99,1998,Valve,70
1.99,2016,dev4play,752360
0.0,2018,BlueLine Games,520680
0.0,2018,Games by Brundle,690410
0.99,2018,ETGgames,766850
0.0,2018,ProjectorGames,413120
0.0,2017,Unknown Indie Devs,773120
8.99,2018,The Commander,754360
0.99,2018,"lalalaZero,Urbanoff",716110
6.99,2006,Strategy First,1640
6.99,2006,Strategy First,1630
9.99,2006,Outerlight Ltd.,2400
0.0,0,Zachary M Thomas,662570
0.0,0,Breakout Studio,381620
0.0,0,"zha7,Phaedruns,Yingke Wu",714020
7.99,2017,Ultraint,759920
0.0,2018,Seth Albertus,659780
10.99,2017,TPM.CO SOFT WORKS,603280
9.99,2017,Wonderbox Games,753110
9.99,2017,Wonderbox Games,753100
1.99,2017,Mad Unicorn Games,764280
0.99,2017,Emanon Studios,758550
9.99,2005,GlyphX Games,3800
9.99,2006,Introversion Software,1520
9.99,2006,Outerlight Ltd.,2420
9.99,2006,Facepunch Studios,4000
39.99,2006,SimBin,4230
0.0,2006,Unknown Worlds Entertainment,4900
4.99,2006,"CINEMAX, s.r.o.",2520
4.99,2003,Sick Puppies,6200
4.99,2006,Deepred,6210
19.99,2006,Funcom,6300
9.99,2006,Bugbear Entertainment,2990
7.49,2005,Bugbear Entertainment,6220
14.99,2007,"CAPCOM Co., Ltd.",6510
9.99,2006,"FireFly Studios,Firaxis Games",3980
4.99,2002,Arkane Studios,1700
9.99,2000,Funcom,6310
4.99,2006,Firaxis Games,3990
9.99,2003,PopTop,7610
9.99,2006,"Firaxis Games,Feral Interactive (Mac)",7600
4.99,1998,PopTop,7620
4.99,2007,Elephant Games,2540
4.99,1995,"MicroProse Software, Inc",7650
8.99,2007,"Crystal Dynamics,Feral Interactive (Mac)",8000
19.99,2006,"CAPCOM Co., Ltd.",6550
19.99,2006,Telltale Games,8200
4.99,1996,id Software,2290
0.0,2007,Freegamer,2570
19.99,2006,Telltale Games,8210
4.99,1995,id Software,2280
14.99,1995,id Software,9160
4.99,1994,id Software,2300
4.99,1994,id Software,2270
4.99,2001,Gray Matter Studios,9010
2.99,1997,Ritual Entertainment,9040
2.99,1993,id Software,9000
9.99,2003,Terminal Reality,3810
2.99,2007,Rogue Entertainment,9030
4.99,2007,id Software,2310
4.99,2007,Metamorf,3230
12.99,2006,Relic Entertainment,9310
19.99,2007,"2K Boston,2K Australia",7670
12.99,2006,Relic Entertainment,4570
12.99,2006,Relic Entertainment,4580
9.99,2004,The Creative Assembly,4760
4.99,2006,The Creative Assembly,4770
6.99,2007,Big Fish Games,50970
0.0,1998,Rockstar North,12170
0.0,1999,Rockstar North,12180
9.99,2004,Rockstar North,12130
9.99,2003,Rockstar San Diego,12160
9.99,2003,Remedy Entertainment,12150
6.99,2006,Crystal Dynamics,7000
9.99,2001,Remedy Entertainment,12140
19.99,2008,EA Los Angeles,17480
9.99,2007,Infinite Interactive,12500
9.99,2007,Momentum Digital Media Technologies,12310
9.99,2007,"Gamebryo,Virtual Playground",12510
9.99,2007,SCS Software,12530
9.99,2007,SCS Software,12520
5.99,2008,Pivotal Games,8100
7.99,2007,Bohemia Interactive,2780
9.99,2006,Retroism,9730
9.99,2006,Spellbound,9710
4.99,2007,Haggard Games,9800
2.99,2006,Eugen Systems,9760
19.99,2006,"Frontier,Aspyr (Mac)",2700
2.99,2005,Eugen Systems,2710
14.99,2003,"Epic Games, Inc.",13200
9.99,1998,"Epic Games, Inc.",13250
4.99,2008,Sanzaru Games,13000
9.99,2003,Ubisoft,13560
9.99,2004,Crytek Studios,13520
9.99,2000,"Epic Games, Inc.",13240
9.99,2006,Ubisoft Montreal,13540
9.99,2005,Ubisoft,15210
9.99,2008,Last Day of Work,16180
4.99,2008,SpinTop Games,3520
9.99,2008,MumboJumbo,15970
9.99,2008,MumboJumbo,15950
9.99,2008,MumboJumbo,15960
9.99,2008,MumboJumbo,15900
9.99,2005,MumboJumbo,15910
9.99,2007,MumboJumbo,15930
9.99,2007,Ubisoft,15160
9.99,2005,MumboJumbo,15920
9.99,2007,"Ubisoft Bulgaria,Ubisoft Montpellier",15080
9.99,2007,Ubisoft Romania,15200
9.99,2006,1C: Maddox Games,15320
9.99,2008,Ubisoft Romania,15240
9.99,2005,Telltale Games,8310
9.99,2005,"Merscom,Babylon",12600
9.99,2006,Telltale Games,8320
9.99,2008,BigAnt Studios,12590
9.99,2007,Gabriel Entertainment,12560
9.99,2007,Zemnott,12540
9.99,2008,Frogwares,11050
0.0,2008,Eurocom,10520
9.99,2008,Frogwares,11040
4.99,2008,"Luc Bernard,SilverSphereStudios",19500
7.99,2007,Lesta Studio,11260
4.99,2008,Dialogue Design,19200
19.99,2008,Bugbear Entertainment,12360
2.99,1998,Oddworld Inhabitants,15710
2.99,1997,Oddworld Inhabitants,15700
7.99,2008,SimBin,8660
4.99,2001,"MicroProse Software, Inc",7770
4.99,1997,"MicroProse Software, Inc",7660
4.99,1993,"MicroProse Software, Inc",7760
9.99,2008,GSC Game World,20510
19.99,2008,Crytek,17330
19.99,2007,Crytek,17300
4.99,1998,"MicroProse Software, Inc",7730
9.99,2008,CD PROJEKT RED,20900
9.99,2008,Introversion Software,1530
2.99,2008,SimBin,8690
2.49,2008,"Tilted Mill Entertainment, Inc.",17120
19.99,2008,Firaxis Games,16810
9.99,2003,"Red Storm Entertainment,Ubisoft Montreal",19830
19.99,2008,Traveller's Tales,21000
9.99,2008,Monte Cristo,4460
9.99,2008,"Tilted Mill Entertainment, Inc.",17140
9.99,2008,Gearbox Software,15390
4.99,2008,Dark Castle Software,21300
4.99,2006,Techland,3050
9.99,2006,Nival,15380
9.99,2005,Gearbox Software,19800
9.99,2007,Nival,15370
19.99,2008,Blue Byte,19930
9.99,2007,Ubisoft,15350
9.99,2002,Red Storm Entertainment,19810
4.99,2008,"PopCap Games, Inc.",3540
9.99,2008,2D BOY,22000
15.99,2008,Egosoft,2820
0.0,2008,Sandstorm Productions,1230
4.99,2008,Shorebound Studios,18300
19.99,2008,Perpetual FX Creative,20200
14.99,2008,Rockstar New England,12200
9.99,2008,Ubisoft Montreal,19900
4.99,2008,Meridian4,11240
4.99,2009,RailSimulator.com,256522
4.99,2009,RailSimulator.com,275144
4.99,2009,RailSimulator.com,256521
4.99,2009,Reppo,222569
4.99,2009,RailSimulator.com,256535
4.99,2009,Dovetail Games,256611
4.99,2009,Dovetail Games,256576
9.99,2009,Volition,9480
19.99,2008,EA Redwood Shores,17470
9.99,2008,Liquid Entertainment,12770
19.99,2009,DICE,17410
9.99,2008,Hidden Path Entertainment,18500
14.99,2009,Monolith,16450
7.99,2008,Oxeye Game Studio,15400
9.99,2007,Inventive Dingo,18600
4.99,2009,Meridian4,11340
9.99,2005,Black Sea Studios Ltd,25830
5.99,2009,Realmforge Studios,23460
2.99,2009,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",10600
4.99,2009,Deadline Games,21010
9.99,2007,Frictional Games,22180
19.99,2007,"Epic Games, Inc.",13210
9.99,2009,Radon Labs,12640
0.0,2009,Certain Affinity™,21600
4.99,2008,Tale of Tales,27020
19.99,2009,Criterion Games,24740
0.0,2009,Zombie Master Team,90047
9.99,2009,Twisted Pixel Games,26000
1.25,2009,Twisted Pixel Games,26006
1.25,2009,Twisted Pixel Games,26005
4.99,2009,IonFX,11330
9.99,2009,Llamasoft LTD,27800
14.99,2009,"InnoGlow,Stormregion,THQ Nordic",9850
4.99,2009,SpinTop Games,3600
19.99,2006,ArenaNet®,29580
19.99,2005,ArenaNet®,29540
19.99,2006,ArenaNet®,29560
29.99,2008,ArenaNet®,29570
14.99,2009,Infinite Interactive,23700
9.99,2009,MumboJumbo,16060
9.99,2009,Reality Pump Studios,1930
9.99,2009,Spellbound,18470
9.99,2009,Gaijin Entertainment,7510
9.99,2009,ACE Team,22200
1.25,2009,Twisted Pixel Games,26007
6.99,2008,1C Company,25900
9.99,2009,Last Day of Work,16200
2.99,2009,Sky Fallen,7840
4.99,2005,Irrational Games,8890
4.99,2002,Irrational Games,8880
14.99,2009,SaintXi,34500
0.0,2009,Darklight Games,1280
19.99,2009,Radical Entertainment,10150
4.99,0,Erik Svedäng,29160
4.99,2004,Ascaron Entertainment ltd.,12470
14.99,2007,Bethesda Game Studios,22330
14.99,2002,Bethesda Game Studios,22320
4.99,2007,Deck 13,12440
9.99,1999,NovaLogic,32710
9.99,1998,NovaLogic,32740
4.99,2008,Mascot Entertainment,12460
9.99,2009,Techland,21980
6.99,2007,HeR Interactive,31860
6.99,2006,HeR Interactive,31900
6.99,2008,HeR Interactive,31920
6.99,2007,HeR Interactive,31930
0.0,2008,Digital Eel,35800
9.99,2009,"ValuSoft, Retroism",12690
19.99,2009,Telltale Games,31170
19.99,2009,Capcom,21660
9.99,2007,Frontier,6080
5.99,1992,LucasArts,6010
5.99,2003,Planet Moon Studios,6090
9.99,2005,Pandemic Studios,6060
5.99,1989,LucasArts,32310
19.99,2008,Traveller's Tales,32330
9.99,2009,LucasArts,32360
12.99,2008,GFI Russia,35300
9.99,2009,Targem Games,35310
6.99,2009,HeR Interactive,31980
0.0,2009,Her Interactive,31990
9.99,2006,Wanako Games,10140
19.99,2006,Sierra,10100
19.99,2007,Saber Interactive,10130
19.99,2006,Sierra,10110
7.99,2009,Tripwire Interactive,1256
9.99,2008,Artech Studios,10120
6.99,2009,"PopTop Software,BreakAway Games,Frog City Software",33520
4.99,2009,SpinTop Games,3610
9.99,2008,Capcom,21680
9.99,2009,Capcom,21670
4.99,2009,Deadline Games,21030
4.99,2009,Sakari Indie,36000
9.99,2003,"BioWare,Aspyr (Mac)",32370
9.99,2009,Hemisphere Games,29180
9.99,1998,Black Isle Studios,38410
9.99,2001,14° East,38420
9.99,1999,Xatrix Entertainment,38430
0.0,2009,IO Interactive,35050
19.99,2009,Telltale Games,31180
19.99,2009,iWin,37960
9.99,2009,iWin,38000
4.99,2009,Size Five Games,37400
9.99,2005,Ubisoft Montreal,13570
9.99,2009,Meridian4,11390
4.99,2009,Unicorn Games Studio,34420
14.99,2009,Blue Fang,43100
9.99,2009,"ValuSoft, Retroism",33730
9.99,2009,IO Interactive,35000
19.99,2009,"Freeze Tag Inc.,iQ212",39392
19.99,1999,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",39391
2.99,2009,"Vectorpark, Inc.",37600
24.99,2009,All Aboard,24029
9.99,2009,MumboJumbo,32140
19.99,2009,Telltale Games,31190
19.99,2009,NovaLogic,32770
17.99,2009,Dovetail Games,208306
9.99,2009,PlayFirst,37300
19.99,2009,Dovetail Games,208300
9.99,2009,Piranha Bytes,40300
3.99,2009,Honeyslug,35070
9.99,2009,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",10606
9.99,2009,Amanita Design,40700
9.99,2007,EA Los Angeles,24840
19.99,2009,Slightly Mad Studios,24870
14.99,2009,Runic Games,41500
19.99,2009,EA Los Angeles,24800
19.99,2009,FireFly Studios,901735
4.99,2009,Nitro Games,42800
9.99,2009,Homegrown Games,39560
14.99,2009,"Phenomic,THQ Nordic",39550
9.99,2009,Animation Arts,40330
4.99,2009,Stormregion,40320
19.99,2009,Telltale Games,31200
4.99,2009,1C Company,3130
4.99,2009,Konstantin Koshutin,41100
9.99,2009,Phenomic,39540
9.99,2005,Wargaming.net,34640
9.99,2003,Wargaming.net,34630
14.99,2009,Croteam,41000
9.99,2009,Animation Arts,40340
19.99,2009,BioWare,17450
4.99,2009,Citeremis Inc.,37100
1.99,2009,Yullaby,37500
9.99,2009,Crystal Empire Games,42810
19.99,2009,"Infinity Ward,Aspyr (Mac)",10180
19.99,2009,"Traveller's Tales,Feral Interactive (Mac)",32440
4.99,2007,"Triumph Studios,Virtual Programming",11450
9.99,2008,"Triumph Studios,Virtual Programming",12710
14.99,2007,EA Los Angeles,24790
4.99,2008,KranX Productions,29120
19.99,2009,EA Los Angeles,24810
14.99,2009,Positech Games,41800
9.99,2009,Gaijin Entertainment,45300
9.99,2005,inXile Entertainment,41900
0.0,2009,Defence Alliance Team,35420
19.99,2009,"LucasArts,Aspyr Studios",32430
19.99,2009,Bethesda Game Studios,22370
5.99,2009,Positech Games,41802
9.99,2007,Hip Soft,38080
9.99,2008,Hip Soft,38090
9.99,2009,Hip Soft,38100
9.99,2009,iWin,38070
1.99,2009,Spidermonk Entertainment,38210
19.99,2008,Capcom,45700
9.99,2010,ClockStone Studios,46410
9.99,2009,Hip Soft,38110
0.0,2010,Octoshark Studios,17570
4.99,2008,Alawar,38130
9.99,2010,Alawar,38160
9.99,2009,Alawar,38150
4.99,2007,Alawar,38120
4.99,2009,Alawar,38140
6.99,2010,Sandlot Games,36300
6.99,2010,Sandlot Games,36310
6.99,2010,Cateia Games,36320
9.99,2010,Chaos Concept,37030
19.99,2010,Traveller's Tales,32450
0.0,2010,Eurocom,34180
4.99,2010,New Star Games Ltd,44100
0.99,2010,Paradox Interactive,25960
6.99,2010,The Farm 51,46250
9.99,2007,Awem Studio,38180
7.49,2010,Rebellion,10695
9.99,2001,Croteam,41050
19.99,2010,All Aboard,24055
19.99,2010,TaleWorlds Entertainment,48700
4.99,2010,ZoopTEK,39900
4.99,2010,Beatnik Games,49900
9.99,2010,Fatshark,42120
19.99,2010,Rockstar North / Toronto,12220
4.99,2010,Other Ocean Interactive,45730
0.99,2010,Nemesys Games,45400
9.99,2010,Cold Beam Games,49600
19.99,2010,Telltale Games,901399
9.99,2010,Realmforge Studios,43500
4.99,2010,Gaijin Entertainment,45302
4.99,2010,The Odd Gentlemen,40930
4.99,2003,THQ Nordic,39640
4.99,2001,THQ Nordic,39630
1.99,2010,Red Chain Games Ltd.,23150
9.99,2006,Big Fish Games,50940
9.99,2008,Big Fish Games,50920
2.99,2010,"The Creative Assembly,Feral Interactive (Mac)",34178
6.99,2008,Sarbakan,37340
6.99,2009,PlayFirst,37390
6.99,2009,Absolutist Ltd.,37310
6.99,2007,PlayFirst,37360
6.99,2009,PlayFirst,49000
6.99,2010,PlayFirst,37330
6.99,2008,PlayFirst,37320
6.99,2007,PlayFirst,37370
6.99,2009,PlayFirst,37380
9.99,2010,G5 Entertainment,19080
0.0,2008,ISOTX,31700
14.99,2010,Climax Studios,19030
0.0,2010,Press Play,50820
4.99,2010,Muse Games,49800
4.99,2010,Ideas Pad,33650
19.99,2010,Ubisoft,901478
4.99,2010,Kokakiki,33660
2.99,2010,SEGA,34281
2.99,2010,SEGA,34272
61.99,2010,D3T Limited,34270
2.99,2010,SEGA,34276
2.99,2010,SEGA,34274
2.99,2010,SEGA,34275
2.99,2010,SEGA,34277
2.99,2010,SEGA,34273
2.99,2010,SEGA,34280
2.99,2010,SEGA,34282
2.99,2010,SEGA,34279
14.99,2010,Obsidian Entertainment,34010
9.99,2010,Team17 Software Ltd.,22610
4.99,2010,Bethesda Game Studios,22440
0.99,2010,Hidden Path Entertainment,18508
4.99,2010,Bethesda Game Studios,22430
4.99,2010,Bethesda Game Studios,22410
4.99,2010,Bethesda Game Studios,22420
0.0,2010,Valve,630
4.99,2010,Bethesda Game Studios,22400
19.99,2003,"EA - Maxis,Aspyr (Mac)",24780
14.99,2010,"Akella,.dat",33670
4.99,2010,"Arcen Games, LLC",40420
9.99,2010,Invent4 Entertainment,34920
3.99,2010,Blue Byte,48136
9.99,2008,Dagger Games,46720
9.99,2010,IO Interactive,28000
9.99,2010,Rune Forge,39680
0.99,2010,Paradox Interactive,25962
19.99,2010,N3V Games,24634
4.99,2010,Ino-Co,63900
29.99,2011,"2K Czech,Feral Interactive (Mac)",50130
4.99,2010,Dovetail Games,24075
9.99,2010,Infinite Interactive,47540
9.99,2010,doublesix,50510
1.99,2010,Playbrains,25760
1.99,2010,Playbrains,25763
1.99,2010,Playbrains,25762
2.99,2010,Playbrains,25764
9.99,2010,Paradox Development Studio,42980
19.99,2010,VStep,48800
19.99,2010,Team17 Digital Ltd,22600
14.99,2010,Muzzy Lane Software,46770
8.99,2010,Bohemia Interactive,65700
19.99,2010,Paradox Development Studio,42960
1.99,2010,Playbrains,25761
5.99,2010,IO Interactive,28010
1.99,2010,IO Interactive,28012
19.99,2010,N3V Games,24640
2.99,2010,IO Interactive,28011
4.99,2002,GSC Game World,4850
5.99,2010,Revolution Software Ltd,57640
4.99,2010,Zoë Mode,62100
9.99,2010,"2K Czech,Feral Interactive (Mac)",50145
1.99,2010,City Interactive,34841
4.99,2010,Terry Cavanagh,70300
3.99,2010,Blue Byte,48137
